Drug,Reac,a,drug_num,reac_num,n
ESTRADIOL,ANXIETY,2,72,1093,71094
ETANERCEPT,ANXIETY,140,18762,1093,71094
ETONOGESTREL,ANXIETY,14,794,1093,71094
EVEROLIMUS,ANXIETY,3,130,1093,71094
EZETIMIBE,ANXIETY,1,35,1093,71094
FENTANYL,ANXIETY,2,204,1093,71094
FINASTERIDE,ANXIETY,1,18,1093,71094
FINGOLIMOD,ANXIETY,72,1158,1093,71094
FLUOCINONIDE,ANXIETY,1,1,1093,71094
FONDAPARINUX,ANXIETY,2,4,1093,71094
GABAPENTIN,ANXIETY,5,146,1093,71094
GADODIAMIDE,ANXIETY,1,20,1093,71094
GADOPENTETATE DIMEGLUMINE,ANXIETY,1,55,1093,71094
GLATIRAMER,ANXIETY,8,356,1093,71094
GOLIMUMAB,ANXIETY,1,136,1093,71094
GUAIFENESIN,ANXIETY,1,5,1093,71094
HALOPERIDOL,ANXIETY,1,13,1093,71094
HYDROCODONE,ANXIETY,1,9,1093,71094
IBRUTINIB,ANXIETY,7,474,1093,71094
ILOPROST,ANXIETY,1,216,1093,71094
IMMUNOGLOBULIN G,ANXIETY,1,150,1093,71094
INFLIXIMAB,ANXIETY,4,401,1093,71094
INSULIN LISPRO,ANXIETY,1,70,1093,71094
INTERFERON BETA-1A,ANXIETY,31,938,1093,71094
INTERFERON BETA-1B,ANXIETY,6,297,1093,71094
IOHEXOL,ANXIETY,1,105,1093,71094
ISOTRETINOIN,ANXIETY,7,233,1093,71094
LAMOTRIGINE,ANXIETY,1,58,1093,71094
LANREOTIDE,ANXIETY,3,96,1093,71094
LENALIDOMIDE,ANXIETY,34,6018,1093,71094
LEUPROLIDE,ANXIETY,4,209,1093,71094
LEVETIRACETAM,ANXIETY,1,60,1093,71094
LEVONORGESTREL,ANXIETY,37,534,1093,71094
LISDEXAMFETAMINE,ANXIETY,6,93,1093,71094
LORAZEPAM,ANXIETY,2,14,1093,71094
LORCASERIN,ANXIETY,2,125,1093,71094
MACITENTAN,ANXIETY,8,788,1093,71094
MECHLORETHAMINE,ANXIETY,1,19,1093,71094
MEMANTINE,ANXIETY,1,4,1093,71094
MESALAMINE,ANXIETY,2,66,1093,71094
METFORMIN,ANXIETY,1,20,1093,71094
METHADONE,ANXIETY,1,6,1093,71094
METHYLPHENIDATE,ANXIETY,3,18,1093,71094
METHYLPREDNISOLONE,ANXIETY,3,31,1093,71094
METOPROLOL,ANXIETY,1,29,1093,71094
MOMETASONE,ANXIETY,2,101,1093,71094
MONTELUKAST,ANXIETY,1,16,1093,71094
MORPHINE,ANXIETY,2,103,1093,71094
MOXIFLOXACIN,ANXIETY,1,20,1093,71094
NALTREXONE,ANXIETY,2,15,1093,71094
NATALIZUMAB,ANXIETY,16,1621,1093,71094
NICOTINE,ANXIETY,1,12,1093,71094
NIFEDIPINE,ANXIETY,1,12,1093,71094
NILOTINIB,ANXIETY,2,46,1093,71094
NINTEDANIB,ANXIETY,1,72,1093,71094
OCTREOTIDE,ANXIETY,1,14,1093,71094
OLANZAPINE,ANXIETY,5,30,1093,71094
OMALIZUMAB,ANXIETY,3,297,1093,71094
ONDANSETRON,ANXIETY,8,28,1093,71094
OSPEMIFENE,ANXIETY,6,102,1093,71094
OXYBATE,ANXIETY,85,1330,1093,71094
OXYCODONE,ANXIETY,6,250,1093,71094
OXYMORPHONE,ANXIETY,1,26,1093,71094
PALIPERIDONE,ANXIETY,4,199,1093,71094
PANTOPRAZOLE,ANXIETY,4,73,1093,71094
PAROXETINE,ANXIETY,1,8,1093,71094
PEGFILGRASTIM,ANXIETY,3,68,1093,71094
PEGINTERFERON ALFA-2B,ANXIETY,4,187,1093,71094
PIMAVANSERIN,ANXIETY,3,6,1093,71094
PIOGLITAZONE,ANXIETY,2,23,1093,71094
PONATINIB,ANXIETY,6,40,1093,71094
POSACONAZOLE,ANXIETY,1,17,1093,71094
PRAVASTATIN,ANXIETY,1,11,1093,71094
PREGABALIN,ANXIETY,36,935,1093,71094
PROPRANOLOL,ANXIETY,1,31,1093,71094
QUETIAPINE,ANXIETY,1,35,1093,71094
RANIBIZUMAB,ANXIETY,1,67,1093,71094
RANITIDINE,ANXIETY,13,206,1093,71094
REGORAFENIB,ANXIETY,1,115,1093,71094
RIBAVIRIN,ANXIETY,3,58,1093,71094
RIOCIGUAT,ANXIETY,7,78,1093,71094
RISPERIDONE,ANXIETY,1,270,1093,71094
RITUXIMAB,ANXIETY,2,116,1093,71094
RIVAROXABAN,ANXIETY,3,1242,1093,71094
RIZATRIPTAN,ANXIETY,1,10,1093,71094
ROMIPLOSTIM,ANXIETY,2,55,1093,71094
ROTIGOTINE,ANXIETY,1,6,1093,71094
RUXOLITINIB,ANXIETY,3,431,1093,71094
SELEGILINE,ANXIETY,1,8,1093,71094
SERTRALINE,ANXIETY,3,31,1093,71094
SILDENAFIL,ANXIETY,1,228,1093,71094
SIMEPREVIR,ANXIETY,3,98,1093,71094
SIMVASTATIN,ANXIETY,1,17,1093,71094
SIPULEUCEL-T,ANXIETY,3,158,1093,71094
SITAGLIPTIN,ANXIETY,1,140,1093,71094
SODIUM CHLORIDE,ANXIETY,1,31,1093,71094
SODIUM FERRIC GLUCONATE COMPLEX,ANXIETY,1,22,1093,71094
SOFOSBUVIR,ANXIETY,8,293,1093,71094
SOLRIAMFETOL,ANXIETY,1,2,1093,71094
SORAFENIB,ANXIETY,1,134,1093,71094
SULFASALAZINE,ANXIETY,1,10,1093,71094
SUNITINIB,ANXIETY,9,397,1093,71094
TAMSULOSIN,ANXIETY,1,15,1093,71094
TAPENTADOL,ANXIETY,1,52,1093,71094
TERIFLUNOMIDE,ANXIETY,10,341,1093,71094
TERIPARATIDE,ANXIETY,1,57,1093,71094
TESTOSTERONE,ANXIETY,4,292,1093,71094
TETRABENAZINE,ANXIETY,1,34,1093,71094
THALIDOMIDE,ANXIETY,1,322,1093,71094
TIOTROPIUM,ANXIETY,7,454,1093,71094
TOCILIZUMAB,ANXIETY,1,66,1093,71094
TOFACITINIB,ANXIETY,5,703,1093,71094
TRAMADOL,ANXIETY,1,87,1093,71094
TRASTUZUMAB,ANXIETY,1,67,1093,71094
TREPROSTINIL,ANXIETY,7,352,1093,71094
TRIAMCINOLONE,ANXIETY,1,17,1093,71094
VALPROATE,ANXIETY,3,24,1093,71094
VARENICLINE,ANXIETY,4,89,1093,71094
VENLAFAXINE,ANXIETY,1,75,1093,71094
VILAZODONE,ANXIETY,2,17,1093,71094
VORICONAZOLE,ANXIETY,2,42,1093,71094
VORTIOXETINE,ANXIETY,2,23,1093,71094
ZICONOTIDE,ANXIETY,1,24,1093,71094
ZIPRASIDONE,ANXIETY,4,13,1093,71094
ZOLEDRONIC ACID,ANXIETY,2,44,1093,71094
17-ALPHA-HYDROXYPROGESTERONE,CERVICAL INCOMPETENCE,1,2,2,71094
ETANERCEPT,CERVICAL INCOMPETENCE,1,18762,2,71094
17-ALPHA-HYDROXYPROGESTERONE,DEPRESSION,1,2,966,71094
ABATACEPT,DEPRESSION,1,148,966,71094
ADALIMUMAB,DEPRESSION,21,2347,966,71094
AFATINIB,DEPRESSION,2,115,966,71094
AFLIBERCEPT,DEPRESSION,2,35,966,71094
AMBRISENTAN,DEPRESSION,2,538,966,71094
AMITRIPTYLINE,DEPRESSION,1,8,966,71094
APREMILAST,DEPRESSION,68,1067,966,71094
ARIPIPRAZOLE,DEPRESSION,11,167,966,71094
ARMODAFINIL,DEPRESSION,1,17,966,71094
ASPIRIN,DEPRESSION,2,842,966,71094
AXITINIB,DEPRESSION,1,143,966,71094
BACLOFEN,DEPRESSION,2,89,966,71094
BEVACIZUMAB,DEPRESSION,1,176,966,71094
BORTEZOMIB,DEPRESSION,1,173,966,71094
BOSENTAN,DEPRESSION,3,1394,966,71094
BOSUTINIB,DEPRESSION,1,116,966,71094
BOTULINUM TOXIN TYPE A,DEPRESSION,3,289,966,71094
BUMETANIDE,DEPRESSION,1,2,966,71094
BUPRENORPHINE,DEPRESSION,1,189,966,71094
BUPROPION,DEPRESSION,4,39,966,71094
CANAGLIFLOZIN,DEPRESSION,1,241,966,71094
CARFILZOMIB,DEPRESSION,5,349,966,71094
CELECOXIB,DEPRESSION,2,144,966,71094
CERITINIB,DEPRESSION,1,38,966,71094
CERTOLIZUMAB PEGOL,DEPRESSION,2,757,966,71094
CHLORPROMAZINE,DEPRESSION,1,1,966,71094
CITALOPRAM,DEPRESSION,1,4,966,71094
CLOBAZAM,DEPRESSION,1,13,966,71094
CLOMIPRAMINE,DEPRESSION,1,1,966,71094
CLONAZEPAM,DEPRESSION,1,36,966,71094
CLOZAPINE,DEPRESSION,2,187,966,71094
COLESEVELAM,DEPRESSION,1,73,966,71094
CYCLOSPORINE,DEPRESSION,1,91,966,71094
DACLATASVIR,DEPRESSION,2,2,966,71094
DALFAMPRIDINE,DEPRESSION,1,122,966,71094
DASATINIB,DEPRESSION,2,149,966,71094
DENOSUMAB,DEPRESSION,15,955,966,71094
DESVENLAFAXINE,DEPRESSION,3,52,966,71094
DEXLANSOPRAZOLE,DEPRESSION,1,14,966,71094
DIMETHYL FUMARATE,DEPRESSION,26,1306,966,71094
DOCETAXEL,DEPRESSION,1,51,966,71094
DOFETILIDE,DEPRESSION,1,54,966,71094
DONEPEZIL,DEPRESSION,1,5,966,71094
DOXEPIN,DEPRESSION,1,5,966,71094
DULOXETINE,DEPRESSION,23,124,966,71094
ENZALUTAMIDE,DEPRESSION,7,511,966,71094
EPOETIN ALFA,DEPRESSION,1,105,966,71094
EPOPROSTENOL,DEPRESSION,15,520,966,71094
ERLOTINIB,DEPRESSION,2,163,966,71094
ERTAPENEM,DEPRESSION,1,13,966,71094
ESCITALOPRAM,DEPRESSION,2,8,966,71094
ESLICARBAZEPINE,DEPRESSION,1,7,966,71094
ESTRADIOL,DEPRESSION,1,72,966,71094
"ESTROGENS, CONJUGATED (USP)",DEPRESSION,4,41,966,71094
ETANERCEPT,DEPRESSION,96,18762,966,71094
ETONOGESTREL,DEPRESSION,16,794,966,71094
EVEROLIMUS,DEPRESSION,2,130,966,71094
EXEMESTANE,DEPRESSION,1,48,966,71094
FINASTERIDE,DEPRESSION,3,18,966,71094
FINGOLIMOD,DEPRESSION,103,1158,966,71094
FONDAPARINUX,DEPRESSION,1,4,966,71094
FUROSEMIDE,DEPRESSION,1,42,966,71094
GABAPENTIN,DEPRESSION,8,146,966,71094
GLATIRAMER,DEPRESSION,16,356,966,71094
HYDROCODONE,DEPRESSION,1,9,966,71094
IBRUTINIB,DEPRESSION,8,474,966,71094
IBUPROFEN,DEPRESSION,1,107,966,71094
INFLIXIMAB,DEPRESSION,2,401,966,71094
INTERFERON ALFA-2B,DEPRESSION,1,13,966,71094
INTERFERON BETA-1A,DEPRESSION,38,938,966,71094
INTERFERON BETA-1B,DEPRESSION,12,297,966,71094
INTERFERON GAMMA-1B,DEPRESSION,1,1,966,71094
ISOTRETINOIN,DEPRESSION,19,233,966,71094
LACOSAMIDE,DEPRESSION,3,67,966,71094
LANREOTIDE,DEPRESSION,1,96,966,71094
LATANOPROST,DEPRESSION,1,19,966,71094
LENALIDOMIDE,DEPRESSION,23,6018,966,71094
LEUPROLIDE,DEPRESSION,5,209,966,71094
LEVETIRACETAM,DEPRESSION,3,60,966,71094
LEVOMILNACIPRAN,DEPRESSION,1,28,966,71094
LEVONORGESTREL,DEPRESSION,33,534,966,71094
LINAGLIPTIN,DEPRESSION,1,92,966,71094
LISDEXAMFETAMINE,DEPRESSION,2,93,966,71094
LISINOPRIL,DEPRESSION,1,48,966,71094
LORCASERIN,DEPRESSION,5,125,966,71094
MEDROXYPROGESTERONE,DEPRESSION,1,29,966,71094
MESALAMINE,DEPRESSION,2,66,966,71094
METFORMIN,DEPRESSION,1,20,966,71094
METHYLPREDNISOLONE,DEPRESSION,2,31,966,71094
METOPROLOL,DEPRESSION,1,29,966,71094
MIRABEGRON,DEPRESSION,1,41,966,71094
MIRTAZAPINE,DEPRESSION,1,12,966,71094
MONTELUKAST,DEPRESSION,1,16,966,71094
NAPROXEN,DEPRESSION,1,38,966,71094
NATALIZUMAB,DEPRESSION,19,1621,966,71094
NILOTINIB,DEPRESSION,1,46,966,71094
NINTEDANIB,DEPRESSION,1,72,966,71094
OCRELIZUMAB,DEPRESSION,1,10,966,71094
OLMESARTAN,DEPRESSION,1,49,966,71094
OMALIZUMAB,DEPRESSION,1,297,966,71094
ONDANSETRON,DEPRESSION,1,28,966,71094
OSPEMIFENE,DEPRESSION,2,102,966,71094
OXYBATE,DEPRESSION,41,1330,966,71094
OXYBUTYNIN,DEPRESSION,1,63,966,71094
OXYCODONE,DEPRESSION,8,250,966,71094
PACLITAXEL,DEPRESSION,1,103,966,71094
PALBOCICLIB,DEPRESSION,4,18,966,71094
PALIPERIDONE,DEPRESSION,5,199,966,71094
PANTOPRAZOLE,DEPRESSION,6,73,966,71094
PD-1/PD-L1_RCC,DEPRESSION,1,16,966,71094
PEGFILGRASTIM,DEPRESSION,1,68,966,71094
PEGINTERFERON ALFA-2A,DEPRESSION,4,70,966,71094
PEGINTERFERON ALFA-2B,DEPRESSION,9,187,966,71094
PHENYTOIN,DEPRESSION,1,21,966,71094
POMALIDOMIDE,DEPRESSION,1,854,966,71094
PONATINIB,DEPRESSION,2,40,966,71094
PREGABALIN,DEPRESSION,44,935,966,71094
QUETIAPINE,DEPRESSION,1,35,966,71094
RANITIDINE,DEPRESSION,3,206,966,71094
RASAGILINE,DEPRESSION,1,7,966,71094
REGORAFENIB,DEPRESSION,2,115,966,71094
RIBAVIRIN,DEPRESSION,2,58,966,71094
RIOCIGUAT,DEPRESSION,5,78,966,71094
RIVAROXABAN,DEPRESSION,1,1242,966,71094
RIZATRIPTAN,DEPRESSION,1,10,966,71094
RUXOLITINIB,DEPRESSION,1,431,966,71094
SECUKINUMAB,DEPRESSION,1,11,966,71094
SELEGILINE,DEPRESSION,1,8,966,71094
SERTRALINE,DEPRESSION,5,31,966,71094
SEVELAMER,DEPRESSION,1,19,966,71094
SILDENAFIL,DEPRESSION,5,228,966,71094
SIMEPREVIR,DEPRESSION,1,98,966,71094
SIPULEUCEL-T,DEPRESSION,2,158,966,71094
SOFOSBUVIR,DEPRESSION,14,293,966,71094
SOMATROPIN,DEPRESSION,4,51,966,71094
SORAFENIB,DEPRESSION,1,134,966,71094
SULFASALAZINE,DEPRESSION,1,10,966,71094
SUNITINIB,DEPRESSION,9,397,966,71094
TACROLIMUS,DEPRESSION,2,83,966,71094
TEMOZOLOMIDE,DEPRESSION,1,26,966,71094
TERIFLUNOMIDE,DEPRESSION,16,341,966,71094
TERIPARATIDE,DEPRESSION,1,57,966,71094
TESTOSTERONE,DEPRESSION,6,292,966,71094
TETRABENAZINE,DEPRESSION,1,34,966,71094
THALIDOMIDE,DEPRESSION,2,322,966,71094
TIOTROPIUM,DEPRESSION,3,454,966,71094
TOFACITINIB,DEPRESSION,4,703,966,71094
TRAMADOL,DEPRESSION,1,87,966,71094
TRASTUZUMAB,DEPRESSION,2,67,966,71094
TREPROSTINIL,DEPRESSION,6,352,966,71094
VARENICLINE,DEPRESSION,6,89,966,71094
VENLAFAXINE,DEPRESSION,8,75,966,71094
VIGABATRIN,DEPRESSION,3,118,966,71094
VORICONAZOLE,DEPRESSION,2,42,966,71094
VORTIOXETINE,DEPRESSION,1,23,966,71094
ZICONOTIDE,DEPRESSION,1,24,966,71094
ZOLEDRONIC ACID,DEPRESSION,1,44,966,71094
17-ALPHA-HYDROXYPROGESTERONE,HEADACHE,1,2,3895,71094
ABATACEPT,HEADACHE,2,148,3895,71094
ADALIMUMAB,HEADACHE,81,2347,3895,71094
AFATINIB,HEADACHE,8,115,3895,71094
AFLIBERCEPT,HEADACHE,4,35,3895,71094
ALBIGLUTIDE,HEADACHE,1,3,3895,71094
ALBUTEROL,HEADACHE,1,101,3895,71094
ALCAFTADINE,HEADACHE,1,9,3895,71094
ALEMTUZUMAB,HEADACHE,1,23,3895,71094
ALISKIREN,HEADACHE,1,3,3895,71094
ALPHA 1-ANTITRYPSIN,HEADACHE,1,10,3895,71094
ALPRAZOLAM,HEADACHE,2,88,3895,71094
ALTEPLASE,HEADACHE,2,56,3895,71094
AMBRISENTAN,HEADACHE,42,538,3895,71094
AMLODIPINE,HEADACHE,4,29,3895,71094
ANASTROZOLE,HEADACHE,2,15,3895,71094
APIXABAN,HEADACHE,1,134,3895,71094
APREMILAST,HEADACHE,249,1067,3895,71094
ARIPIPRAZOLE,HEADACHE,3,167,3895,71094
ARMODAFINIL,HEADACHE,2,17,3895,71094
ASPIRIN,HEADACHE,2,842,3895,71094
ATENOLOL,HEADACHE,1,24,3895,71094
ATORVASTATIN,HEADACHE,1,62,3895,71094
AXITINIB,HEADACHE,8,143,3895,71094
AZITHROMYCIN,HEADACHE,1,16,3895,71094
BACLOFEN,HEADACHE,7,89,3895,71094
BASILIXIMAB,HEADACHE,2,10,3895,71094
"BCG, LIVE, TICE STRAIN",HEADACHE,1,17,3895,71094
BECLOMETHASONE,HEADACHE,1,5,3895,71094
BELATACEPT,HEADACHE,1,37,3895,71094
BELIMUMAB,HEADACHE,1,64,3895,71094
BENDAMUSTINE,HEADACHE,2,54,3895,71094
BEVACIZUMAB,HEADACHE,9,176,3895,71094
BIMATOPROST,HEADACHE,4,69,3895,71094
BORTEZOMIB,HEADACHE,1,173,3895,71094
BOSENTAN,HEADACHE,54,1394,3895,71094
BOSUTINIB,HEADACHE,13,116,3895,71094
BOTULINUM TOXIN TYPE A,HEADACHE,39,289,3895,71094
BRINZOLAMIDE,HEADACHE,2,2,3895,71094
BUDESONIDE,HEADACHE,1,13,3895,71094
BUPRENORPHINE,HEADACHE,9,189,3895,71094
BUPROPION,HEADACHE,3,39,3895,71094
BUTORPHANOL,HEADACHE,1,4,3895,71094
CABAZITAXEL,HEADACHE,1,14,3895,71094
CABOZANTINIB,HEADACHE,6,113,3895,71094
CANAGLIFLOZIN,HEADACHE,2,241,3895,71094
CAPECITABINE,HEADACHE,1,63,3895,71094
CARFILZOMIB,HEADACHE,17,349,3895,71094
CELECOXIB,HEADACHE,2,144,3895,71094
CERTOLIZUMAB PEGOL,HEADACHE,36,757,3895,71094
CETUXIMAB,HEADACHE,1,30,3895,71094
CHOLESTYRAMINE RESIN,HEADACHE,1,2,3895,71094
CINACALCET,HEADACHE,4,72,3895,71094
CLONAZEPAM,HEADACHE,4,36,3895,71094
CLOPIDOGREL,HEADACHE,2,26,3895,71094
COPPER,HEADACHE,3,329,3895,71094
CORTICOTROPIN,HEADACHE,2,41,3895,71094
CRIZOTINIB,HEADACHE,1,171,3895,71094
CTLA-4_MEL,HEADACHE,1,125,3895,71094
CYCLOSPORINE,HEADACHE,9,91,3895,71094
CYTARABINE,HEADACHE,8,83,3895,71094
Combined_MEL,HEADACHE,3,77,3895,71094
DABIGATRAN ETEXILATE,HEADACHE,6,567,3895,71094
DABRAFENIB,HEADACHE,1,83,3895,71094
DALFAMPRIDINE,HEADACHE,7,122,3895,71094
DAPAGLIFLOZIN,HEADACHE,3,54,3895,71094
DARBEPOETIN ALFA,HEADACHE,1,20,3895,71094
DASATINIB,HEADACHE,12,149,3895,71094
DEFERASIROX,HEADACHE,1,29,3895,71094
DENOSUMAB,HEADACHE,35,955,3895,71094
DESVENLAFAXINE,HEADACHE,2,52,3895,71094
DEXAMETHASONE,HEADACHE,1,49,3895,71094
DICLOFENAC,HEADACHE,1,41,3895,71094
DILTIAZEM,HEADACHE,1,27,3895,71094
DIMETHYL FUMARATE,HEADACHE,48,1306,3895,71094
DIPHENHYDRAMINE,HEADACHE,4,16,3895,71094
DOFETILIDE,HEADACHE,2,54,3895,71094
DOXERCALCIFEROL,HEADACHE,2,23,3895,71094
DOXORUBICIN,HEADACHE,3,55,3895,71094
DRONEDARONE,HEADACHE,1,15,3895,71094
DROXIDOPA,HEADACHE,7,62,3895,71094
DULOXETINE,HEADACHE,62,124,3895,71094
ECULIZUMAB,HEADACHE,3,65,3895,71094
ELETRIPTAN,HEADACHE,1,9,3895,71094
ELTROMBOPAG,HEADACHE,3,32,3895,71094
EMPAGLIFLOZIN,HEADACHE,2,50,3895,71094
ENOXAPARIN,HEADACHE,1,40,3895,71094
ENZALUTAMIDE,HEADACHE,25,511,3895,71094
EPOETIN ALFA,HEADACHE,2,105,3895,71094
EPOPROSTENOL,HEADACHE,95,520,3895,71094
ERLOTINIB,HEADACHE,4,163,3895,71094
ESCITALOPRAM,HEADACHE,2,8,3895,71094
ESTRADIOL,HEADACHE,1,72,3895,71094
"ESTROGENS, CONJUGATED (USP)",HEADACHE,2,41,3895,71094
ETANERCEPT,HEADACHE,1200,18762,3895,71094
ETONOGESTREL,HEADACHE,57,794,3895,71094
EVEROLIMUS,HEADACHE,2,130,3895,71094
EXEMESTANE,HEADACHE,5,48,3895,71094
EXENATIDE,HEADACHE,4,134,3895,71094
EZETIMIBE,HEADACHE,4,35,3895,71094
FENOFIBRATE,HEADACHE,2,8,3895,71094
FENTANYL,HEADACHE,6,204,3895,71094
FESOTERODINE,HEADACHE,1,16,3895,71094
FINGOLIMOD,HEADACHE,214,1158,3895,71094
FLUDARABINE,HEADACHE,1,7,3895,71094
FLUTICASONE,HEADACHE,2,24,3895,71094
FUROSEMIDE,HEADACHE,1,42,3895,71094
GABAPENTIN,HEADACHE,3,146,3895,71094
GADOBENATE,HEADACHE,2,82,3895,71094
GADOBUTROL,HEADACHE,8,143,3895,71094
GADOPENTETATE DIMEGLUMINE,HEADACHE,3,55,3895,71094
GADOVERSETAMIDE,HEADACHE,1,3,3895,71094
GLATIRAMER,HEADACHE,20,356,3895,71094
GOLIMUMAB,HEADACHE,2,136,3895,71094
HYDROMORPHONE,HEADACHE,2,17,3895,71094
HYDROXYUREA,HEADACHE,2,5,3895,71094
IBRUTINIB,HEADACHE,19,474,3895,71094
IDELALISIB,HEADACHE,1,62,3895,71094
ILOPROST,HEADACHE,15,216,3895,71094
IMIPRAMINE,HEADACHE,1,3,3895,71094
IMMUNOGLOBULIN G,HEADACHE,19,150,3895,71094
INFLIXIMAB,HEADACHE,9,401,3895,71094
INGENOL MEBUTATE,HEADACHE,1,5,3895,71094
"INSULIN ASPART, HUMAN",HEADACHE,1,20,3895,71094
INSULIN DETEMIR,HEADACHE,1,19,3895,71094
INSULIN GLARGINE,HEADACHE,1,58,3895,71094
INSULIN LISPRO,HEADACHE,2,70,3895,71094
INTERFERON ALFA-2B,HEADACHE,3,13,3895,71094
INTERFERON BETA-1A,HEADACHE,47,938,3895,71094
INTERFERON BETA-1B,HEADACHE,32,297,3895,71094
IODIXANOL,HEADACHE,4,44,3895,71094
IOHEXOL,HEADACHE,2,105,3895,71094
IOPAMIDOL,HEADACHE,1,31,3895,71094
ISOTRETINOIN,HEADACHE,30,233,3895,71094
IVERMECTIN,HEADACHE,1,3,3895,71094
LACOSAMIDE,HEADACHE,4,67,3895,71094
LANREOTIDE,HEADACHE,15,96,3895,71094
LEFLUNOMIDE,HEADACHE,1,10,3895,71094
LENALIDOMIDE,HEADACHE,69,6018,3895,71094
LENVATINIB,HEADACHE,1,10,3895,71094
LETROZOLE,HEADACHE,1,14,3895,71094
LEUPROLIDE,HEADACHE,17,209,3895,71094
LEVETIRACETAM,HEADACHE,3,60,3895,71094
LEVOFLOXACIN,HEADACHE,1,45,3895,71094
LEVONORGESTREL,HEADACHE,5,534,3895,71094
LEVOTHYROXINE,HEADACHE,8,62,3895,71094
LINAGLIPTIN,HEADACHE,1,92,3895,71094
LIRAGLUTIDE,HEADACHE,1,194,3895,71094
LISDEXAMFETAMINE,HEADACHE,6,93,3895,71094
LITHIUM CARBONATE,HEADACHE,1,6,3895,71094
LORATADINE,HEADACHE,2,3,3895,71094
LORCASERIN,HEADACHE,13,125,3895,71094
LURASIDONE,HEADACHE,2,28,3895,71094
MACITENTAN,HEADACHE,51,788,3895,71094
MECHLORETHAMINE,HEADACHE,1,19,3895,71094
MEMANTINE,HEADACHE,1,4,3895,71094
MESALAMINE,HEADACHE,2,66,3895,71094
METHADONE,HEADACHE,1,6,3895,71094
METHOTREXATE,HEADACHE,5,78,3895,71094
METHYLPHENIDATE,HEADACHE,1,18,3895,71094
METHYLPREDNISOLONE,HEADACHE,4,31,3895,71094
METOPROLOL,HEADACHE,1,29,3895,71094
MINOCYCLINE,HEADACHE,3,25,3895,71094
MINOXIDIL,HEADACHE,1,6,3895,71094
