Drug,Reac,a,drug_num,reac_num,n
IVABRADINE,ANXIETY,1,15,722,64663
LAMOTRIGINE,ANXIETY,1,127,722,64663
LANREOTIDE,ANXIETY,1,88,722,64663
LENALIDOMIDE,ANXIETY,23,3664,722,64663
LEUPROLIDE,ANXIETY,1,252,722,64663
LEVETIRACETAM,ANXIETY,8,208,722,64663
LEVOFLOXACIN,ANXIETY,1,126,722,64663
LINAGLIPTIN,ANXIETY,1,245,722,64663
LISDEXAMFETAMINE,ANXIETY,3,37,722,64663
LISINOPRIL,ANXIETY,1,336,722,64663
LORATADINE,ANXIETY,1,33,722,64663
LORAZEPAM,ANXIETY,3,61,722,64663
MACITENTAN,ANXIETY,3,245,722,64663
MECHLORETHAMINE,ANXIETY,1,16,722,64663
MEMANTINE,ANXIETY,1,33,722,64663
METFORMIN,ANXIETY,2,280,722,64663
METHADONE,ANXIETY,1,17,722,64663
METHOTREXATE,ANXIETY,1,214,722,64663
METHYLPHENIDATE,ANXIETY,3,38,722,64663
METHYLPREDNISOLONE,ANXIETY,1,114,722,64663
METOPROLOL,ANXIETY,4,122,722,64663
METRONIDAZOLE,ANXIETY,4,58,722,64663
MIFEPRISTONE,ANXIETY,1,1,722,64663
MONTELUKAST,ANXIETY,1,17,722,64663
MORPHINE,ANXIETY,2,132,722,64663
MYCOPHENOLIC ACID,ANXIETY,2,75,722,64663
NALTREXONE,ANXIETY,2,12,722,64663
NAPROXEN,ANXIETY,2,123,722,64663
NATALIZUMAB,ANXIETY,5,573,722,64663
NICOTINE,ANXIETY,1,9,722,64663
NIFEDIPINE,ANXIETY,1,4,722,64663
NILOTINIB,ANXIETY,4,409,722,64663
NINTEDANIB,ANXIETY,2,68,722,64663
OCTREOTIDE,ANXIETY,65,473,722,64663
OLANZAPINE,ANXIETY,12,172,722,64663
OMALIZUMAB,ANXIETY,31,423,722,64663
OMEPRAZOLE,ANXIETY,1,75,722,64663
OSELTAMIVIR,ANXIETY,1,33,722,64663
OXYBATE,ANXIETY,17,446,722,64663
OXYCODONE,ANXIETY,6,226,722,64663
PACLITAXEL,ANXIETY,3,268,722,64663
PALIPERIDONE,ANXIETY,6,226,722,64663
PANITUMUMAB,ANXIETY,1,175,722,64663
PANTOPRAZOLE,ANXIETY,1,100,722,64663
PAROXETINE,ANXIETY,2,49,722,64663
PAZOPANIB,ANXIETY,1,280,722,64663
PEGINTERFERON ALFA-2A,ANXIETY,2,236,722,64663
PEGINTERFERON ALFA-2B,ANXIETY,4,174,722,64663
PENTOXIFYLLINE,ANXIETY,1,3,722,64663
PIRFENIDONE,ANXIETY,3,116,722,64663
POMALIDOMIDE,ANXIETY,2,799,722,64663
PONATINIB,ANXIETY,4,89,722,64663
POSACONAZOLE,ANXIETY,1,18,722,64663
PRAZOSIN,ANXIETY,1,6,722,64663
PREGABALIN,ANXIETY,17,435,722,64663
PROPRANOLOL,ANXIETY,1,17,722,64663
QUETIAPINE,ANXIETY,4,207,722,64663
RANIBIZUMAB,ANXIETY,4,316,722,64663
RANITIDINE,ANXIETY,6,126,722,64663
RIBAVIRIN,ANXIETY,2,330,722,64663
RILPIVIRINE,ANXIETY,1,19,722,64663
RIOCIGUAT,ANXIETY,1,37,722,64663
RISPERIDONE,ANXIETY,8,370,722,64663
RITUXIMAB,ANXIETY,7,531,722,64663
RIVAROXABAN,ANXIETY,7,1921,722,64663
ROFLUMILAST,ANXIETY,1,67,722,64663
ROMIPLOSTIM,ANXIETY,1,89,722,64663
ROPIVACAINE,ANXIETY,1,12,722,64663
ROTIGOTINE,ANXIETY,1,74,722,64663
RUXOLITINIB,ANXIETY,2,439,722,64663
SALSALATE,ANXIETY,1,2,722,64663
SERTRALINE,ANXIETY,10,129,722,64663
SILDENAFIL,ANXIETY,1,163,722,64663
SILTUXIMAB,ANXIETY,1,5,722,64663
SIMEPREVIR,ANXIETY,5,746,722,64663
SIMVASTATIN,ANXIETY,1,225,722,64663
SIPULEUCEL-T,ANXIETY,4,213,722,64663
SITAGLIPTIN,ANXIETY,1,125,722,64663
SODIUM CHLORIDE,ANXIETY,1,51,722,64663
SOFOSBUVIR,ANXIETY,8,517,722,64663
SORAFENIB,ANXIETY,2,350,722,64663
SULFASALAZINE,ANXIETY,1,20,722,64663
SUMATRIPTAN,ANXIETY,2,35,722,64663
SUNITINIB,ANXIETY,6,478,722,64663
TACROLIMUS,ANXIETY,1,236,722,64663
TAMSULOSIN,ANXIETY,1,137,722,64663
TAPENTADOL,ANXIETY,2,44,722,64663
TELAPREVIR,ANXIETY,3,198,722,64663
TERBINAFINE,ANXIETY,5,51,722,64663
TERIFLUNOMIDE,ANXIETY,2,109,722,64663
TESTOSTERONE,ANXIETY,4,342,722,64663
TICAGRELOR,ANXIETY,2,405,722,64663
TIOTROPIUM,ANXIETY,3,222,722,64663
TIZANIDINE,ANXIETY,1,7,722,64663
TOCILIZUMAB,ANXIETY,7,311,722,64663
TOFACITINIB,ANXIETY,2,192,722,64663
TRAMADOL,ANXIETY,3,136,722,64663
TREPROSTINIL,ANXIETY,1,171,722,64663
TRIAMCINOLONE,ANXIETY,1,17,722,64663
VALPROATE,ANXIETY,1,86,722,64663
VALSARTAN,ANXIETY,2,71,722,64663
VARENICLINE,ANXIETY,8,95,722,64663
VENLAFAXINE,ANXIETY,2,91,722,64663
VORICONAZOLE,ANXIETY,1,74,722,64663
VORTIOXETINE,ANXIETY,4,33,722,64663
ZICONOTIDE,ANXIETY,1,30,722,64663
ZOLPIDEM,ANXIETY,1,75,722,64663
6-AMINOCAPROIC ACID,DIZZINESS,1,1,1786,64663
ABATACEPT,DIZZINESS,5,122,1786,64663
ABIRATERONE,DIZZINESS,18,531,1786,64663
ACYCLOVIR,DIZZINESS,1,43,1786,64663
ADALIMUMAB,DIZZINESS,31,1836,1786,64663
AFATINIB,DIZZINESS,4,256,1786,64663
AFLIBERCEPT,DIZZINESS,2,155,1786,64663
ALBIGLUTIDE,DIZZINESS,1,1,1786,64663
ALLOPURINOL,DIZZINESS,1,48,1786,64663
ALPRAZOLAM,DIZZINESS,1,80,1786,64663
AMBRISENTAN,DIZZINESS,11,154,1786,64663
AMIODARONE,DIZZINESS,5,182,1786,64663
AMITRIPTYLINE,DIZZINESS,1,26,1786,64663
AMLODIPINE,DIZZINESS,14,213,1786,64663
AMOXICILLIN,DIZZINESS,6,161,1786,64663
AMPHOTERICIN B,DIZZINESS,1,16,1786,64663
APIXABAN,DIZZINESS,3,285,1786,64663
APREMILAST,DIZZINESS,19,502,1786,64663
ARIPIPRAZOLE,DIZZINESS,2,189,1786,64663
ASENAPINE,DIZZINESS,1,14,1786,64663
ASPIRIN,DIZZINESS,11,760,1786,64663
ATENOLOL,DIZZINESS,3,92,1786,64663
ATORVASTATIN,DIZZINESS,5,289,1786,64663
AXITINIB,DIZZINESS,9,221,1786,64663
AZACITIDINE,DIZZINESS,2,227,1786,64663
BACLOFEN,DIZZINESS,5,233,1786,64663
BECLOMETHASONE,DIZZINESS,1,5,1786,64663
BELATACEPT,DIZZINESS,1,41,1786,64663
BETAMETHASONE,DIZZINESS,1,5,1786,64663
BEVACIZUMAB,DIZZINESS,20,542,1786,64663
BEXAROTENE,DIZZINESS,2,5,1786,64663
BIMATOPROST,DIZZINESS,1,13,1786,64663
BOCEPREVIR,DIZZINESS,1,41,1786,64663
BORTEZOMIB,DIZZINESS,1,126,1786,64663
BOSENTAN,DIZZINESS,13,369,1786,64663
BOSUTINIB,DIZZINESS,2,85,1786,64663
BOTULINUM TOXIN TYPE A,DIZZINESS,5,53,1786,64663
BRENTUXIMAB VEDOTIN,DIZZINESS,1,91,1786,64663
BROMOCRIPTINE,DIZZINESS,1,4,1786,64663
BUDESONIDE,DIZZINESS,2,17,1786,64663
BUPRENORPHINE,DIZZINESS,5,112,1786,64663
BUPROPION,DIZZINESS,3,41,1786,64663
BUSPIRONE,DIZZINESS,1,2,1786,64663
CABOZANTINIB,DIZZINESS,6,149,1786,64663
CALCIUM ACETATE,DIZZINESS,1,4,1786,64663
CANAGLIFLOZIN,DIZZINESS,6,169,1786,64663
CAPECITABINE,DIZZINESS,1,172,1786,64663
CARBAMAZEPINE,DIZZINESS,6,115,1786,64663
CARBOPLATIN,DIZZINESS,5,123,1786,64663
CARFILZOMIB,DIZZINESS,5,336,1786,64663
CARVEDILOL,DIZZINESS,2,52,1786,64663
CEFDINIR,DIZZINESS,1,1,1786,64663
CEFTAROLINE FOSAMIL,DIZZINESS,1,13,1786,64663
CEFUROXIME,DIZZINESS,1,49,1786,64663
CELECOXIB,DIZZINESS,2,93,1786,64663
CERITINIB,DIZZINESS,2,69,1786,64663
CERTOLIZUMAB PEGOL,DIZZINESS,8,493,1786,64663
CETUXIMAB,DIZZINESS,2,103,1786,64663
CINACALCET,DIZZINESS,5,74,1786,64663
CIPROFLOXACIN,DIZZINESS,4,134,1786,64663
CISPLATIN,DIZZINESS,1,105,1786,64663
CITALOPRAM,DIZZINESS,3,93,1786,64663
CLARITHROMYCIN,DIZZINESS,1,139,1786,64663
CLOBAZAM,DIZZINESS,1,18,1786,64663
CLONAZEPAM,DIZZINESS,2,72,1786,64663
CLOPIDOGREL,DIZZINESS,15,311,1786,64663
CLOZAPINE,DIZZINESS,13,655,1786,64663
CRIZOTINIB,DIZZINESS,9,170,1786,64663
CTLA-4,DIZZINESS,1,17,1786,64663
CTLA-4_MEL,DIZZINESS,2,185,1786,64663
CYCLOPHOSPHAMIDE,DIZZINESS,1,65,1786,64663
CYCLOSPORINE,DIZZINESS,2,106,1786,64663
CYTARABINE,DIZZINESS,3,110,1786,64663
DABIGATRAN,DIZZINESS,3,76,1786,64663
DABIGATRAN ETEXILATE,DIZZINESS,6,972,1786,64663
DABRAFENIB,DIZZINESS,5,176,1786,64663
DACLATASVIR,DIZZINESS,4,67,1786,64663
DALFAMPRIDINE,DIZZINESS,3,93,1786,64663
DALTEPARIN,DIZZINESS,1,14,1786,64663
DAPAGLIFLOZIN,DIZZINESS,2,80,1786,64663
DASATINIB,DIZZINESS,2,149,1786,64663
DECITABINE,DIZZINESS,1,19,1786,64663
DEFERASIROX,DIZZINESS,9,137,1786,64663
DEGARELIX,DIZZINESS,4,107,1786,64663
DENOSUMAB,DIZZINESS,3,578,1786,64663
DESVENLAFAXINE,DIZZINESS,2,20,1786,64663
DEXAMETHASONE,DIZZINESS,2,118,1786,64663
DEXTROMETHORPHAN,DIZZINESS,1,2,1786,64663
DIAZEPAM,DIZZINESS,2,92,1786,64663
DICLOFENAC,DIZZINESS,1,127,1786,64663
DIGOXIN,DIZZINESS,1,18,1786,64663
DILTIAZEM,DIZZINESS,2,50,1786,64663
DIMETHYL FUMARATE,DIZZINESS,8,415,1786,64663
DIPYRIDAMOLE,DIZZINESS,1,5,1786,64663
DOCETAXEL,DIZZINESS,1,130,1786,64663
DOLUTEGRAVIR,DIZZINESS,4,84,1786,64663
DONEPEZIL,DIZZINESS,1,83,1786,64663
DOXAZOSIN,DIZZINESS,3,33,1786,64663
DOXORUBICIN,DIZZINESS,1,116,1786,64663
DOXYCYCLINE,DIZZINESS,2,62,1786,64663
DRONEDARONE,DIZZINESS,1,27,1786,64663
DROXIDOPA,DIZZINESS,6,36,1786,64663
DULOXETINE,DIZZINESS,17,53,1786,64663
DUTASTERIDE,DIZZINESS,2,28,1786,64663
ECULIZUMAB,DIZZINESS,4,82,1786,64663
EFAVIRENZ,DIZZINESS,2,12,1786,64663
ELTROMBOPAG,DIZZINESS,2,73,1786,64663
EMPAGLIFLOZIN,DIZZINESS,1,25,1786,64663
ENALAPRIL,DIZZINESS,3,37,1786,64663
ENZALUTAMIDE,DIZZINESS,55,847,1786,64663
EPIRUBICIN,DIZZINESS,1,12,1786,64663
EPOETIN ALFA,DIZZINESS,2,61,1786,64663
EPOPROSTENOL,DIZZINESS,8,156,1786,64663
ESCITALOPRAM,DIZZINESS,1,91,1786,64663
ESOMEPRAZOLE,DIZZINESS,2,141,1786,64663
ETANERCEPT,DIZZINESS,106,4823,1786,64663
EVEROLIMUS,DIZZINESS,6,303,1786,64663
EXENATIDE,DIZZINESS,1,79,1786,64663
EZETIMIBE,DIZZINESS,1,25,1786,64663
FENOFIBRATE,DIZZINESS,2,40,1786,64663
FENTANYL,DIZZINESS,3,227,1786,64663
FERUMOXYTOL,DIZZINESS,4,22,1786,64663
FILGRASTIM,DIZZINESS,3,91,1786,64663
FINASTERIDE,DIZZINESS,3,57,1786,64663
FINGOLIMOD,DIZZINESS,54,631,1786,64663
FLUDARABINE,DIZZINESS,1,30,1786,64663
FLUOROURACIL,DIZZINESS,9,199,1786,64663
FLUOXETINE,DIZZINESS,1,44,1786,64663
FONDAPARINUX,DIZZINESS,1,25,1786,64663
FOSCARNET,DIZZINESS,1,7,1786,64663
FUROSEMIDE,DIZZINESS,5,183,1786,64663
GABAPENTIN,DIZZINESS,8,173,1786,64663
GADOBENATE,DIZZINESS,4,54,1786,64663
GADOBUTROL,DIZZINESS,3,50,1786,64663
GADOPENTETATE DIMEGLUMINE,DIZZINESS,1,19,1786,64663
GENTAMICIN,DIZZINESS,2,10,1786,64663
GLATIRAMER,DIZZINESS,4,104,1786,64663
GLIPIZIDE,DIZZINESS,2,25,1786,64663
GOLIMUMAB,DIZZINESS,5,256,1786,64663
HYDROCHLOROTHIAZIDE,DIZZINESS,2,40,1786,64663
HYDROMORPHONE,DIZZINESS,1,26,1786,64663
HYDROXYZINE,DIZZINESS,1,10,1786,64663
IBANDRONATE,DIZZINESS,1,10,1786,64663
IBRUTINIB,DIZZINESS,21,600,1786,64663
IBUPROFEN,DIZZINESS,8,226,1786,64663
ILOPROST,DIZZINESS,6,79,1786,64663
IMATINIB,DIZZINESS,3,161,1786,64663
IMIQUIMOD,DIZZINESS,1,18,1786,64663
IMMUNOGLOBULIN G,DIZZINESS,3,87,1786,64663
INDACATEROL,DIZZINESS,1,49,1786,64663
INDAPAMIDE,DIZZINESS,4,15,1786,64663
INFLIXIMAB,DIZZINESS,17,838,1786,64663
INSULIN DETEMIR,DIZZINESS,1,26,1786,64663
INSULIN GLARGINE,DIZZINESS,4,111,1786,64663
INSULIN LISPRO,DIZZINESS,1,38,1786,64663
INTERFERON BETA-1A,DIZZINESS,6,276,1786,64663
INTERFERON BETA-1B,DIZZINESS,14,112,1786,64663
IODIXANOL,DIZZINESS,1,105,1786,64663
IOHEXOL,DIZZINESS,4,199,1786,64663
IOPROMIDE,DIZZINESS,2,28,1786,64663
IOVERSOL,DIZZINESS,2,19,1786,64663
IOXILAN,DIZZINESS,1,1,1786,64663
IPRATROPIUM,DIZZINESS,1,8,1786,64663
IRBESARTAN,DIZZINESS,1,23,1786,64663
IRINOTECAN,DIZZINESS,9,172,1786,64663
ISOSORBIDE,DIZZINESS,1,2,1786,64663
ISOTRETINOIN,DIZZINESS,2,77,1786,64663
KETOCONAZOLE,DIZZINESS,1,8,1786,64663
LABETALOL,DIZZINESS,1,2,1786,64663
LACOSAMIDE,DIZZINESS,3,77,1786,64663
LAMOTRIGINE,DIZZINESS,7,127,1786,64663
LANREOTIDE,DIZZINESS,5,88,1786,64663
LANSOPRAZOLE,DIZZINESS,1,46,1786,64663
LEFLUNOMIDE,DIZZINESS,3,31,1786,64663
LENALIDOMIDE,DIZZINESS,65,3664,1786,64663
LEUCOVORIN,DIZZINESS,1,31,1786,64663
LEUPROLIDE,DIZZINESS,19,252,1786,64663
LEVETIRACETAM,DIZZINESS,7,208,1786,64663
LEVOFLOXACIN,DIZZINESS,2,126,1786,64663
LEVOTHYROXINE,DIZZINESS,1,20,1786,64663
LIDOCAINE,DIZZINESS,1,30,1786,64663
LINACLOTIDE,DIZZINESS,3,12,1786,64663
LINAGLIPTIN,DIZZINESS,3,245,1786,64663
LINEZOLID,DIZZINESS,1,67,1786,64663
LIRAGLUTIDE,DIZZINESS,3,198,1786,64663
LISINOPRIL,DIZZINESS,5,336,1786,64663
LORATADINE,DIZZINESS,4,33,1786,64663
LORAZEPAM,DIZZINESS,1,61,1786,64663
LORCASERIN,DIZZINESS,7,59,1786,64663
LOVASTATIN,DIZZINESS,1,2,1786,64663
LUBIPROSTONE,DIZZINESS,1,13,1786,64663
MACITENTAN,DIZZINESS,16,245,1786,64663
MELOXICAM,DIZZINESS,2,25,1786,64663
METFORMIN,DIZZINESS,12,280,1786,64663
METHADONE,DIZZINESS,1,17,1786,64663
METHOXSALEN,DIZZINESS,1,4,1786,64663
METHYLPREDNISOLONE,DIZZINESS,6,114,1786,64663
METOLAZONE,DIZZINESS,1,8,1786,64663
METOPROLOL,DIZZINESS,6,122,1786,64663
MILRINONE,DIZZINESS,1,1,1786,64663
MINOXIDIL,DIZZINESS,1,10,1786,64663
MIRABEGRON,DIZZINESS,2,67,1786,64663
MIRTAZAPINE,DIZZINESS,1,103,1786,64663
MONTELUKAST,DIZZINESS,3,17,1786,64663
MORPHINE,DIZZINESS,4,132,1786,64663
MYCOPHENOLATE MOFETIL,DIZZINESS,2,103,1786,64663
MYCOPHENOLIC ACID,DIZZINESS,4,75,1786,64663
NALTREXONE,DIZZINESS,1,12,1786,64663
NAPROXEN,DIZZINESS,8,123,1786,64663
NATALIZUMAB,DIZZINESS,5,573,1786,64663
NILOTINIB,DIZZINESS,13,409,1786,64663
NINTEDANIB,DIZZINESS,1,68,1786,64663
NITROGLYCERIN,DIZZINESS,4,17,1786,64663
OCTREOTIDE,DIZZINESS,65,473,1786,64663
OFATUMUMAB,DIZZINESS,1,144,1786,64663
OLANZAPINE,DIZZINESS,19,172,1786,64663
OLMESARTAN,DIZZINESS,3,35,1786,64663
OMACETAXINE MEPESUCCINATE,DIZZINESS,3,10,1786,64663
OMALIZUMAB,DIZZINESS,30,423,1786,64663
OMEPRAZOLE,DIZZINESS,2,75,1786,64663
ONDANSETRON,DIZZINESS,3,44,1786,64663
OXALIPLATIN,DIZZINESS,6,217,1786,64663
OXCARBAZEPINE,DIZZINESS,1,24,1786,64663
OXYBATE,DIZZINESS,29,446,1786,64663
OXYBUTYNIN,DIZZINESS,1,13,1786,64663
OXYCODONE,DIZZINESS,5,226,1786,64663
PALIPERIDONE,DIZZINESS,8,226,1786,64663
PANITUMUMAB,DIZZINESS,1,175,1786,64663
PANOBINOSTAT,DIZZINESS,1,11,1786,64663
PANTOPRAZOLE,DIZZINESS,3,100,1786,64663
PAROXETINE,DIZZINESS,1,49,1786,64663
PASIREOTIDE,DIZZINESS,3,43,1786,64663
PAZOPANIB,DIZZINESS,5,280,1786,64663
PD-1/PD-L1_MEL,DIZZINESS,2,206,1786,64663
PEGFILGRASTIM,DIZZINESS,1,86,1786,64663
PEGINTERFERON ALFA-2A,DIZZINESS,7,236,1786,64663
PEGINTERFERON ALFA-2B,DIZZINESS,4,174,1786,64663
PEMETREXED,DIZZINESS,1,22,1786,64663
PENTOXIFYLLINE,DIZZINESS,1,3,1786,64663
PERAMPANEL,DIZZINESS,3,38,1786,64663
PERFLUTREN,DIZZINESS,3,24,1786,64663
PHENYTOIN,DIZZINESS,3,32,1786,64663
PIOGLITAZONE,DIZZINESS,1,51,1786,64663
PIRFENIDONE,DIZZINESS,8,116,1786,64663
POMALIDOMIDE,DIZZINESS,18,799,1786,64663
PONATINIB,DIZZINESS,2,89,1786,64663
PRAMIPEXOLE,DIZZINESS,1,22,1786,64663
PRASUGREL,DIZZINESS,1,21,1786,64663
PRAZOSIN,DIZZINESS,1,6,1786,64663
PREGABALIN,DIZZINESS,16,435,1786,64663
QUETIAPINE,DIZZINESS,4,207,1786,64663
RABEPRAZOLE,DIZZINESS,2,26,1786,64663
RADIUM,DIZZINESS,2,38,1786,64663
RALTEGRAVIR,DIZZINESS,2,48,1786,64663
RAMIPRIL,DIZZINESS,16,203,1786,64663
RAMUCIRUMAB,DIZZINESS,1,19,1786,64663
RANIBIZUMAB,DIZZINESS,4,316,1786,64663
RANITIDINE,DIZZINESS,1,126,1786,64663
RANOLAZINE,DIZZINESS,4,36,1786,64663
RASAGILINE,DIZZINESS,2,19,1786,64663
REGADENOSON,DIZZINESS,1,34,1786,64663
REGORAFENIB,DIZZINESS,3,268,1786,64663
REPAGLINIDE,DIZZINESS,2,45,1786,64663
RIBAVIRIN,DIZZINESS,4,330,1786,64663
RIFAPENTINE,DIZZINESS,1,1,1786,64663
RIFAXIMIN,DIZZINESS,1,16,1786,64663
RILPIVIRINE,DIZZINESS,1,19,1786,64663
RIOCIGUAT,DIZZINESS,5,37,1786,64663
RISPERIDONE,DIZZINESS,1,370,1786,64663
RITUXIMAB,DIZZINESS,15,531,1786,64663
RIVAROXABAN,DIZZINESS,39,1921,1786,64663
RIVASTIGMINE,DIZZINESS,1,61,1786,64663
ROCURONIUM,DIZZINESS,1,30,1786,64663
ROFLUMILAST,DIZZINESS,1,67,1786,64663
ROMIPLOSTIM,DIZZINESS,1,89,1786,64663
ROSUVASTATIN,DIZZINESS,4,98,1786,64663
RUXOLITINIB,DIZZINESS,14,439,1786,64663
SCOPOLAMINE,DIZZINESS,1,6,1786,64663
SECUKINUMAB,DIZZINESS,1,25,1786,64663
SERTRALINE,DIZZINESS,5,129,1786,64663
SEVELAMER,DIZZINESS,1,17,1786,64663
SILDENAFIL,DIZZINESS,6,163,1786,64663
SIMEPREVIR,DIZZINESS,10,746,1786,64663
SIMETHICONE,DIZZINESS,1,1,1786,64663
SIMVASTATIN,DIZZINESS,14,225,1786,64663
SIPULEUCEL-T,DIZZINESS,9,213,1786,64663
SITAGLIPTIN,DIZZINESS,7,125,1786,64663
SODIUM CHLORIDE,DIZZINESS,2,51,1786,64663
SODIUM FERRIC GLUCONATE COMPLEX,DIZZINESS,2,6,1786,64663
SOFOSBUVIR,DIZZINESS,14,517,1786,64663
SOMATROPIN,DIZZINESS,2,37,1786,64663
SORAFENIB,DIZZINESS,9,350,1786,64663
SOTALOL,DIZZINESS,5,11,1786,64663
SPIRONOLACTONE,DIZZINESS,1,68,1786,64663
SUGAMMADEX,DIZZINESS,1,19,1786,64663
SULFASALAZINE,DIZZINESS,1,20,1786,64663
SUNITINIB,DIZZINESS,23,478,1786,64663
TACROLIMUS,DIZZINESS,2,236,1786,64663
TADALAFIL,DIZZINESS,2,30,1786,64663
TAMSULOSIN,DIZZINESS,16,137,1786,64663
TAPENTADOL,DIZZINESS,3,44,1786,64663
TEDUGLUTIDE,DIZZINESS,1,14,1786,64663
TELMISARTAN,DIZZINESS,1,26,1786,64663
TEMOZOLOMIDE,DIZZINESS,2,52,1786,64663
TENOFOVIR DISOPROXIL,DIZZINESS,2,63,1786,64663
TERAZOSIN,DIZZINESS,3,16,1786,64663
TERIFLUNOMIDE,DIZZINESS,7,109,1786,64663
TERIPARATIDE,DIZZINESS,3,20,1786,64663
TESTOSTERONE,DIZZINESS,3,342,1786,64663
THALIDOMIDE,DIZZINESS,6,207,1786,64663
TICAGRELOR,DIZZINESS,10,405,1786,64663
TIOTROPIUM,DIZZINESS,3,222,1786,64663
