Drug,Reac,a,drug_num,reac_num,n
CEFOTAXIME,ABDOMINAL PAIN,1,5,2253,94932
CEFTAROLINE FOSAMIL,ABDOMINAL PAIN,1,11,2253,94932
CEFTRIAXONE,ABDOMINAL PAIN,2,131,2253,94932
CELECOXIB,ABDOMINAL PAIN,2,161,2253,94932
CERITINIB,ABDOMINAL PAIN,11,103,2253,94932
CERTOLIZUMAB PEGOL,ABDOMINAL PAIN,34,1439,2253,94932
CETIRIZINE,ABDOMINAL PAIN,1,53,2253,94932
CHLOROQUINE,ABDOMINAL PAIN,1,5,2253,94932
CINACALCET,ABDOMINAL PAIN,2,78,2253,94932
CIPROFLOXACIN,ABDOMINAL PAIN,5,166,2253,94932
CISAPRIDE,ABDOMINAL PAIN,1,2,2253,94932
CISPLATIN,ABDOMINAL PAIN,4,63,2253,94932
CITALOPRAM,ABDOMINAL PAIN,1,252,2253,94932
CLARITHROMYCIN,ABDOMINAL PAIN,1,221,2253,94932
CLOPIDOGREL,ABDOMINAL PAIN,7,190,2253,94932
CLOZAPINE,ABDOMINAL PAIN,8,409,2253,94932
CODEINE,ABDOMINAL PAIN,1,8,2253,94932
COLESEVELAM,ABDOMINAL PAIN,2,58,2253,94932
COPPER,ABDOMINAL PAIN,19,334,2253,94932
CRIZOTINIB,ABDOMINAL PAIN,3,241,2253,94932
CTLA-4,ABDOMINAL PAIN,4,21,2253,94932
CTLA-4_MEL,ABDOMINAL PAIN,3,79,2253,94932
CYCLOPHOSPHAMIDE,ABDOMINAL PAIN,2,92,2253,94932
CYTARABINE,ABDOMINAL PAIN,6,76,2253,94932
DABIGATRAN ETEXILATE,ABDOMINAL PAIN,7,779,2253,94932
DABRAFENIB,ABDOMINAL PAIN,1,131,2253,94932
DACLATASVIR,ABDOMINAL PAIN,2,50,2253,94932
DALFAMPRIDINE,ABDOMINAL PAIN,1,265,2253,94932
DAPSONE,ABDOMINAL PAIN,1,6,2253,94932
DARBEPOETIN ALFA,ABDOMINAL PAIN,2,107,2253,94932
DASATINIB,ABDOMINAL PAIN,5,120,2253,94932
DEFERASIROX,ABDOMINAL PAIN,2,134,2253,94932
DENOSUMAB,ABDOMINAL PAIN,26,2162,2253,94932
DEXAMETHASONE,ABDOMINAL PAIN,4,140,2253,94932
DICLOFENAC,ABDOMINAL PAIN,3,163,2253,94932
DIMETHYL FUMARATE,ABDOMINAL PAIN,67,1627,2253,94932
DOCETAXEL,ABDOMINAL PAIN,12,267,2253,94932
DOLUTEGRAVIR,ABDOMINAL PAIN,1,34,2253,94932
DOXORUBICIN,ABDOMINAL PAIN,4,231,2253,94932
DOXYCYCLINE,ABDOMINAL PAIN,4,79,2253,94932
DROXIDOPA,ABDOMINAL PAIN,1,29,2253,94932
DULOXETINE,ABDOMINAL PAIN,4,163,2253,94932
ECULIZUMAB,ABDOMINAL PAIN,6,117,2253,94932
ELTROMBOPAG,ABDOMINAL PAIN,2,85,2253,94932
EMPAGLIFLOZIN,ABDOMINAL PAIN,2,37,2253,94932
ENOXAPARIN,ABDOMINAL PAIN,3,129,2253,94932
ENTECAVIR,ABDOMINAL PAIN,1,19,2253,94932
ENZALUTAMIDE,ABDOMINAL PAIN,1,11,2253,94932
EPIRUBICIN,ABDOMINAL PAIN,3,60,2253,94932
EPOPROSTENOL,ABDOMINAL PAIN,19,466,2253,94932
ERIBULIN,ABDOMINAL PAIN,3,162,2253,94932
ERLOTINIB,ABDOMINAL PAIN,5,139,2253,94932
ESCITALOPRAM,ABDOMINAL PAIN,1,169,2253,94932
ESOMEPRAZOLE,ABDOMINAL PAIN,4,144,2253,94932
ESTRADIOL,ABDOMINAL PAIN,1,101,2253,94932
"ESTROGENS, CONJUGATED (USP)",ABDOMINAL PAIN,1,43,2253,94932
ETANERCEPT,ABDOMINAL PAIN,105,15355,2253,94932
ETONOGESTREL,ABDOMINAL PAIN,21,886,2253,94932
EVEROLIMUS,ABDOMINAL PAIN,23,498,2253,94932
EXENATIDE,ABDOMINAL PAIN,5,105,2253,94932
EZETIMIBE,ABDOMINAL PAIN,3,42,2253,94932
FENOFIBRATE,ABDOMINAL PAIN,1,20,2253,94932
FENTANYL,ABDOMINAL PAIN,2,256,2253,94932
FERRIC CARBOXYMALTOSE,ABDOMINAL PAIN,3,60,2253,94932
FERUMOXYTOL,ABDOMINAL PAIN,2,23,2253,94932
FESOTERODINE,ABDOMINAL PAIN,1,36,2253,94932
FILGRASTIM,ABDOMINAL PAIN,5,100,2253,94932
FINGOLIMOD,ABDOMINAL PAIN,67,1774,2253,94932
FLUOROURACIL,ABDOMINAL PAIN,15,152,2253,94932
FONDAPARINUX,ABDOMINAL PAIN,1,49,2253,94932
FUROSEMIDE,ABDOMINAL PAIN,3,190,2253,94932
GABAPENTIN,ABDOMINAL PAIN,2,226,2253,94932
GADODIAMIDE,ABDOMINAL PAIN,1,28,2253,94932
GANIRELIX,ABDOMINAL PAIN,1,12,2253,94932
GEMCITABINE,ABDOMINAL PAIN,5,74,2253,94932
GLATIRAMER,ABDOMINAL PAIN,2,408,2253,94932
GLIPIZIDE,ABDOMINAL PAIN,1,11,2253,94932
GOLIMUMAB,ABDOMINAL PAIN,1,469,2253,94932
GRAZOPREVIR,ABDOMINAL PAIN,1,1,2253,94932
HYDROXYCHLOROQUINE,ABDOMINAL PAIN,6,55,2253,94932
HYDROXYUREA,ABDOMINAL PAIN,2,12,2253,94932
IBANDRONATE,ABDOMINAL PAIN,2,128,2253,94932
IBRUTINIB,ABDOMINAL PAIN,8,320,2253,94932
IBUPROFEN,ABDOMINAL PAIN,8,198,2253,94932
ICATIBANT,ABDOMINAL PAIN,1,5,2253,94932
IDELALISIB,ABDOMINAL PAIN,4,95,2253,94932
ILOPROST,ABDOMINAL PAIN,10,286,2253,94932
IMATINIB,ABDOMINAL PAIN,11,151,2253,94932
IMMUNOGLOBULIN G,ABDOMINAL PAIN,3,192,2253,94932
INFLIXIMAB,ABDOMINAL PAIN,62,1149,2253,94932
INSULIN GLARGINE,ABDOMINAL PAIN,1,100,2253,94932
INTERFERON ALFA-2B,ABDOMINAL PAIN,3,21,2253,94932
INTERFERON BETA-1A,ABDOMINAL PAIN,8,1075,2253,94932
INTERFERON BETA-1B,ABDOMINAL PAIN,7,374,2253,94932
IOHEXOL,ABDOMINAL PAIN,4,291,2253,94932
IOPAMIDOL,ABDOMINAL PAIN,2,44,2253,94932
IOPROMIDE,ABDOMINAL PAIN,1,45,2253,94932
IRINOTECAN,ABDOMINAL PAIN,9,110,2253,94932
ISONIAZID,ABDOMINAL PAIN,1,8,2253,94932
ISOTRETINOIN,ABDOMINAL PAIN,6,197,2253,94932
LAMIVUDINE,ABDOMINAL PAIN,2,38,2253,94932
LAMOTRIGINE,ABDOMINAL PAIN,3,211,2253,94932
LANREOTIDE,ABDOMINAL PAIN,11,105,2253,94932
LANSOPRAZOLE,ABDOMINAL PAIN,3,89,2253,94932
LAPATINIB,ABDOMINAL PAIN,5,83,2253,94932
LEFLUNOMIDE,ABDOMINAL PAIN,2,94,2253,94932
LENALIDOMIDE,ABDOMINAL PAIN,39,3441,2253,94932
LEUCOVORIN,ABDOMINAL PAIN,1,31,2253,94932
LEUPROLIDE,ABDOMINAL PAIN,28,178,2253,94932
LEVOCETIRIZINE,ABDOMINAL PAIN,1,23,2253,94932
LEVONORGESTREL,ABDOMINAL PAIN,74,707,2253,94932
LEVOTHYROXINE,ABDOMINAL PAIN,2,104,2253,94932
LINACLOTIDE,ABDOMINAL PAIN,3,30,2253,94932
LINAGLIPTIN,ABDOMINAL PAIN,7,151,2253,94932
LIRAGLUTIDE,ABDOMINAL PAIN,7,209,2253,94932
LISDEXAMFETAMINE,ABDOMINAL PAIN,1,77,2253,94932
LISINOPRIL,ABDOMINAL PAIN,8,122,2253,94932
LITHIUM CARBONATE,ABDOMINAL PAIN,3,38,2253,94932
LORAZEPAM,ABDOMINAL PAIN,1,100,2253,94932
LORCASERIN,ABDOMINAL PAIN,1,115,2253,94932
LUBIPROSTONE,ABDOMINAL PAIN,4,40,2253,94932
LURASIDONE,ABDOMINAL PAIN,1,41,2253,94932
"LYMPHOCYTE IMMUNE GLOBULIN, ANTI-THYMOCYTE GLOBULIN",ABDOMINAL PAIN,1,14,2253,94932
MACITENTAN,ABDOMINAL PAIN,16,821,2253,94932
MEDROXYPROGESTERONE,ABDOMINAL PAIN,3,75,2253,94932
MELOXICAM,ABDOMINAL PAIN,2,24,2253,94932
MESALAMINE,ABDOMINAL PAIN,2,47,2253,94932
METFORMIN,ABDOMINAL PAIN,10,275,2253,94932
METHOTREXATE,ABDOMINAL PAIN,15,442,2253,94932
METHOXY POLYETHYLENE GLYCOL-EPOETIN BETA,ABDOMINAL PAIN,2,72,2253,94932
METHYLNALTREXONE,ABDOMINAL PAIN,4,5,2253,94932
METHYLPREDNISOLONE,ABDOMINAL PAIN,4,120,2253,94932
METOCLOPRAMIDE,ABDOMINAL PAIN,1,10,2253,94932
METOPROLOL,ABDOMINAL PAIN,4,54,2253,94932
METRELEPTIN,ABDOMINAL PAIN,1,4,2253,94932
METRONIDAZOLE,ABDOMINAL PAIN,3,98,2253,94932
MIFEPRISTONE,ABDOMINAL PAIN,8,410,2253,94932
MIRABEGRON,ABDOMINAL PAIN,2,147,2253,94932
MISOPROSTOL,ABDOMINAL PAIN,1,19,2253,94932
MORPHINE,ABDOMINAL PAIN,1,113,2253,94932
MOXIFLOXACIN,ABDOMINAL PAIN,1,50,2253,94932
MYCOPHENOLATE MOFETIL,ABDOMINAL PAIN,2,105,2253,94932
MYCOPHENOLIC ACID,ABDOMINAL PAIN,5,71,2253,94932
NAPROXEN,ABDOMINAL PAIN,10,126,2253,94932
NATALIZUMAB,ABDOMINAL PAIN,12,1689,2253,94932
NILOTINIB,ABDOMINAL PAIN,15,275,2253,94932
NINTEDANIB,ABDOMINAL PAIN,7,60,2253,94932
NOREPINEPHRINE,ABDOMINAL PAIN,1,5,2253,94932
OBINUTUZUMAB,ABDOMINAL PAIN,2,165,2253,94932
OCTREOTIDE,ABDOMINAL PAIN,194,603,2253,94932
OLANZAPINE,ABDOMINAL PAIN,3,144,2253,94932
OLAPARIB,ABDOMINAL PAIN,1,26,2253,94932
OLMESARTAN,ABDOMINAL PAIN,8,46,2253,94932
OMALIZUMAB,ABDOMINAL PAIN,36,1004,2253,94932
OMEPRAZOLE,ABDOMINAL PAIN,12,148,2253,94932
ONDANSETRON,ABDOMINAL PAIN,15,89,2253,94932
OSPEMIFENE,ABDOMINAL PAIN,3,107,2253,94932
OXALIPLATIN,ABDOMINAL PAIN,8,225,2253,94932
OXYBATE,ABDOMINAL PAIN,11,1260,2253,94932
OXYCODONE,ABDOMINAL PAIN,2,213,2253,94932
OXYMORPHONE,ABDOMINAL PAIN,1,18,2253,94932
PACLITAXEL,ABDOMINAL PAIN,24,573,2253,94932
PANCRELIPASE,ABDOMINAL PAIN,2,3,2253,94932
PANTOPRAZOLE,ABDOMINAL PAIN,9,134,2253,94932
PAROXETINE,ABDOMINAL PAIN,1,83,2253,94932
PASIREOTIDE,ABDOMINAL PAIN,5,72,2253,94932
PAZOPANIB,ABDOMINAL PAIN,8,175,2253,94932
PD-1/PD-L1_MEL,ABDOMINAL PAIN,3,116,2253,94932
PD-1/PD-L1_Other,ABDOMINAL PAIN,1,74,2253,94932
PEGFILGRASTIM,ABDOMINAL PAIN,10,235,2253,94932
PEGINTERFERON ALFA-2A,ABDOMINAL PAIN,3,186,2253,94932
PEGINTERFERON ALFA-2B,ABDOMINAL PAIN,3,142,2253,94932
PEMETREXED,ABDOMINAL PAIN,1,13,2253,94932
PENICILLIN V,ABDOMINAL PAIN,1,9,2253,94932
PERTUZUMAB,ABDOMINAL PAIN,3,221,2253,94932
PIRFENIDONE,ABDOMINAL PAIN,3,50,2253,94932
POMALIDOMIDE,ABDOMINAL PAIN,4,801,2253,94932
PONATINIB,ABDOMINAL PAIN,1,68,2253,94932
PREDNISOLONE,ABDOMINAL PAIN,2,87,2253,94932
PREDNISONE,ABDOMINAL PAIN,3,56,2253,94932
PREGABALIN,ABDOMINAL PAIN,10,924,2253,94932
QUETIAPINE,ABDOMINAL PAIN,6,333,2253,94932
RABEPRAZOLE,ABDOMINAL PAIN,3,45,2253,94932
RALOXIFENE,ABDOMINAL PAIN,1,11,2253,94932
RAMIPRIL,ABDOMINAL PAIN,2,182,2253,94932
RANITIDINE,ABDOMINAL PAIN,1,143,2253,94932
REGORAFENIB,ABDOMINAL PAIN,11,228,2253,94932
RIBAVIRIN,ABDOMINAL PAIN,6,168,2253,94932
RIBOCICLIB,ABDOMINAL PAIN,1,11,2253,94932
RIFAMPIN,ABDOMINAL PAIN,1,39,2253,94932
RIOCIGUAT,ABDOMINAL PAIN,12,100,2253,94932
RITUXIMAB,ABDOMINAL PAIN,23,803,2253,94932
RIVAROXABAN,ABDOMINAL PAIN,27,1778,2253,94932
RIVASTIGMINE,ABDOMINAL PAIN,1,91,2253,94932
RIZATRIPTAN,ABDOMINAL PAIN,1,18,2253,94932
ROFLUMILAST,ABDOMINAL PAIN,1,19,2253,94932
ROMIPLOSTIM,ABDOMINAL PAIN,5,123,2253,94932
ROPINIROLE,ABDOMINAL PAIN,1,19,2253,94932
ROTIGOTINE,ABDOMINAL PAIN,2,50,2253,94932
RUXOLITINIB,ABDOMINAL PAIN,13,336,2253,94932
SAXAGLIPTIN,ABDOMINAL PAIN,1,35,2253,94932
SERTRALINE,ABDOMINAL PAIN,2,242,2253,94932
SEVELAMER,ABDOMINAL PAIN,1,10,2253,94932
SEVOFLURANE,ABDOMINAL PAIN,1,17,2253,94932
SIMEPREVIR,ABDOMINAL PAIN,5,751,2253,94932
SIMVASTATIN,ABDOMINAL PAIN,1,163,2253,94932
SIROLIMUS,ABDOMINAL PAIN,1,39,2253,94932
SITAGLIPTIN,ABDOMINAL PAIN,4,145,2253,94932
SODIUM FERRIC GLUCONATE COMPLEX,ABDOMINAL PAIN,7,47,2253,94932
SODIUM POLYSTYRENE SULFONATE,ABDOMINAL PAIN,1,7,2253,94932
SOFOSBUVIR,ABDOMINAL PAIN,11,335,2253,94932
SOLIFENACIN,ABDOMINAL PAIN,2,60,2253,94932
SOMATROPIN,ABDOMINAL PAIN,1,50,2253,94932
SORAFENIB,ABDOMINAL PAIN,3,126,2253,94932
SULFASALAZINE,ABDOMINAL PAIN,1,59,2253,94932
SUNITINIB,ABDOMINAL PAIN,11,270,2253,94932
TACROLIMUS,ABDOMINAL PAIN,10,180,2253,94932
TAPENTADOL,ABDOMINAL PAIN,1,75,2253,94932
TEDUGLUTIDE,ABDOMINAL PAIN,7,43,2253,94932
TELAPREVIR,ABDOMINAL PAIN,1,101,2253,94932
TEMSIROLIMUS,ABDOMINAL PAIN,1,15,2253,94932
TENOFOVIR DISOPROXIL,ABDOMINAL PAIN,2,71,2253,94932
TERIFLUNOMIDE,ABDOMINAL PAIN,13,450,2253,94932
TERIPARATIDE,ABDOMINAL PAIN,2,137,2253,94932
THALIDOMIDE,ABDOMINAL PAIN,1,208,2253,94932
TICAGRELOR,ABDOMINAL PAIN,2,183,2253,94932
TIOTROPIUM,ABDOMINAL PAIN,1,309,2253,94932
TOCILIZUMAB,ABDOMINAL PAIN,57,947,2253,94932
TOFACITINIB,ABDOMINAL PAIN,22,844,2253,94932
TOPIRAMATE,ABDOMINAL PAIN,2,135,2253,94932
TRABECTEDIN,ABDOMINAL PAIN,3,19,2253,94932
TRAMADOL,ABDOMINAL PAIN,4,201,2253,94932
TRAMETINIB,ABDOMINAL PAIN,3,81,2253,94932
TRASTUZUMAB,ABDOMINAL PAIN,10,510,2253,94932
TRAVOPROST,ABDOMINAL PAIN,3,11,2253,94932
TREPROSTINIL,ABDOMINAL PAIN,10,612,2253,94932
TRETINOIN,ABDOMINAL PAIN,1,5,2253,94932
TROSPIUM,ABDOMINAL PAIN,1,9,2253,94932
ULIPRISTAL,ABDOMINAL PAIN,2,12,2253,94932
VALACYCLOVIR,ABDOMINAL PAIN,1,85,2253,94932
VALSARTAN,ABDOMINAL PAIN,1,62,2253,94932
VARENICLINE,ABDOMINAL PAIN,1,102,2253,94932
VEDOLIZUMAB,ABDOMINAL PAIN,2,105,2253,94932
VEMURAFENIB,ABDOMINAL PAIN,2,141,2253,94932
VENLAFAXINE,ABDOMINAL PAIN,2,173,2253,94932
VILAZODONE,ABDOMINAL PAIN,2,13,2253,94932
VINCRISTINE,ABDOMINAL PAIN,2,41,2253,94932
VISMODEGIB,ABDOMINAL PAIN,4,62,2253,94932
VORTIOXETINE,ABDOMINAL PAIN,2,86,2253,94932
ZOLEDRONIC ACID,ABDOMINAL PAIN,3,501,2253,94932
17-ALPHA-HYDROXYPROGESTERONE,ABDOMINAL PAIN UPPER,1,73,1420,94932
ABATACEPT,ABDOMINAL PAIN UPPER,5,447,1420,94932
ACETAMINOPHEN,ABDOMINAL PAIN UPPER,3,130,1420,94932
ACLIDINIUM,ABDOMINAL PAIN UPPER,2,33,1420,94932
ACYCLOVIR,ABDOMINAL PAIN UPPER,2,41,1420,94932
ADALIMUMAB,ABDOMINAL PAIN UPPER,49,3183,1420,94932
AFATINIB,ABDOMINAL PAIN UPPER,4,377,1420,94932
AFLIBERCEPT,ABDOMINAL PAIN UPPER,2,160,1420,94932
ALBUTEROL,ABDOMINAL PAIN UPPER,1,83,1420,94932
ALEMTUZUMAB,ABDOMINAL PAIN UPPER,3,83,1420,94932
ALMOTRIPTAN,ABDOMINAL PAIN UPPER,1,4,1420,94932
ALTEPLASE,ABDOMINAL PAIN UPPER,1,76,1420,94932
AMBRISENTAN,ABDOMINAL PAIN UPPER,5,453,1420,94932
AMIODARONE,ABDOMINAL PAIN UPPER,4,145,1420,94932
AMLODIPINE,ABDOMINAL PAIN UPPER,10,157,1420,94932
AMOXICILLIN,ABDOMINAL PAIN UPPER,9,224,1420,94932
APIXABAN,ABDOMINAL PAIN UPPER,2,216,1420,94932
APREMILAST,ABDOMINAL PAIN UPPER,59,996,1420,94932
ASPIRIN,ABDOMINAL PAIN UPPER,2,449,1420,94932
ATORVASTATIN,ABDOMINAL PAIN UPPER,3,262,1420,94932
AXITINIB,ABDOMINAL PAIN UPPER,2,88,1420,94932
AZACITIDINE,ABDOMINAL PAIN UPPER,1,146,1420,94932
AZITHROMYCIN,ABDOMINAL PAIN UPPER,2,80,1420,94932
BACLOFEN,ABDOMINAL PAIN UPPER,1,147,1420,94932
BEDAQUILINE,ABDOMINAL PAIN UPPER,1,5,1420,94932
BELATACEPT,ABDOMINAL PAIN UPPER,1,20,1420,94932
BELIMUMAB,ABDOMINAL PAIN UPPER,1,214,1420,94932
BENAZEPRIL,ABDOMINAL PAIN UPPER,1,15,1420,94932
BEVACIZUMAB,ABDOMINAL PAIN UPPER,7,824,1420,94932
BOCEPREVIR,ABDOMINAL PAIN UPPER,1,38,1420,94932
BORTEZOMIB,ABDOMINAL PAIN UPPER,2,115,1420,94932
BOSENTAN,ABDOMINAL PAIN UPPER,16,1208,1420,94932
BOSUTINIB,ABDOMINAL PAIN UPPER,6,74,1420,94932
BOTULINUM TOXIN TYPE A,ABDOMINAL PAIN UPPER,7,340,1420,94932
BUPRENORPHINE,ABDOMINAL PAIN UPPER,3,177,1420,94932
CABOZANTINIB,ABDOMINAL PAIN UPPER,3,42,1420,94932
CAPECITABINE,ABDOMINAL PAIN UPPER,5,242,1420,94932
CARBOPLATIN,ABDOMINAL PAIN UPPER,9,221,1420,94932
CELECOXIB,ABDOMINAL PAIN UPPER,2,161,1420,94932
CERITINIB,ABDOMINAL PAIN UPPER,4,103,1420,94932
CERTOLIZUMAB PEGOL,ABDOMINAL PAIN UPPER,16,1439,1420,94932
CISPLATIN,ABDOMINAL PAIN UPPER,5,63,1420,94932
CITALOPRAM,ABDOMINAL PAIN UPPER,2,252,1420,94932
CLOBAZAM,ABDOMINAL PAIN UPPER,1,28,1420,94932
CLONAZEPAM,ABDOMINAL PAIN UPPER,1,83,1420,94932
CLOPIDOGREL,ABDOMINAL PAIN UPPER,4,190,1420,94932
CLOZAPINE,ABDOMINAL PAIN UPPER,3,409,1420,94932
CODEINE,ABDOMINAL PAIN UPPER,1,8,1420,94932
COLCHICINE,ABDOMINAL PAIN UPPER,2,12,1420,94932
CRIZOTINIB,ABDOMINAL PAIN UPPER,3,241,1420,94932
CYCLOSPORINE,ABDOMINAL PAIN UPPER,2,157,1420,94932
CYTARABINE,ABDOMINAL PAIN UPPER,4,76,1420,94932
DABIGATRAN ETEXILATE,ABDOMINAL PAIN UPPER,10,779,1420,94932
DABRAFENIB,ABDOMINAL PAIN UPPER,2,131,1420,94932
DALFAMPRIDINE,ABDOMINAL PAIN UPPER,3,265,1420,94932
DALTEPARIN,ABDOMINAL PAIN UPPER,1,26,1420,94932
DAPAGLIFLOZIN,ABDOMINAL PAIN UPPER,1,86,1420,94932
DASATINIB,ABDOMINAL PAIN UPPER,1,120,1420,94932
DEFERASIROX,ABDOMINAL PAIN UPPER,17,134,1420,94932
DEFERIPRONE,ABDOMINAL PAIN UPPER,2,9,1420,94932
DENOSUMAB,ABDOMINAL PAIN UPPER,26,2162,1420,94932
DESLORATADINE,ABDOMINAL PAIN UPPER,1,10,1420,94932
DESVENLAFAXINE,ABDOMINAL PAIN UPPER,1,47,1420,94932
DEXLANSOPRAZOLE,ABDOMINAL PAIN UPPER,3,15,1420,94932
DEXTROMETHORPHAN,ABDOMINAL PAIN UPPER,1,7,1420,94932
DICLOFENAC,ABDOMINAL PAIN UPPER,8,163,1420,94932
DIMETHYL FUMARATE,ABDOMINAL PAIN UPPER,101,1627,1420,94932
DONEPEZIL,ABDOMINAL PAIN UPPER,2,122,1420,94932
DOXORUBICIN,ABDOMINAL PAIN UPPER,5,231,1420,94932
DOXYCYCLINE,ABDOMINAL PAIN UPPER,1,79,1420,94932
DULOXETINE,ABDOMINAL PAIN UPPER,5,163,1420,94932
ECULIZUMAB,ABDOMINAL PAIN UPPER,2,117,1420,94932
ENTECAVIR,ABDOMINAL PAIN UPPER,2,19,1420,94932
EPOETIN ALFA,ABDOMINAL PAIN UPPER,1,52,1420,94932
EPOPROSTENOL,ABDOMINAL PAIN UPPER,27,466,1420,94932
ERIBULIN,ABDOMINAL PAIN UPPER,1,162,1420,94932
ERLOTINIB,ABDOMINAL PAIN UPPER,2,139,1420,94932
ERYTHROMYCIN,ABDOMINAL PAIN UPPER,1,4,1420,94932
ESCITALOPRAM,ABDOMINAL PAIN UPPER,1,169,1420,94932
ESOMEPRAZOLE,ABDOMINAL PAIN UPPER,11,144,1420,94932
ETANERCEPT,ABDOMINAL PAIN UPPER,132,15355,1420,94932
ETONOGESTREL,ABDOMINAL PAIN UPPER,17,886,1420,94932
ETRAVIRINE,ABDOMINAL PAIN UPPER,1,5,1420,94932
EVEROLIMUS,ABDOMINAL PAIN UPPER,8,498,1420,94932
EXENATIDE,ABDOMINAL PAIN UPPER,1,105,1420,94932
EZETIMIBE,ABDOMINAL PAIN UPPER,1,42,1420,94932
FEBUXOSTAT,ABDOMINAL PAIN UPPER,1,31,1420,94932
FENTANYL,ABDOMINAL PAIN UPPER,1,256,1420,94932
FERRIC CARBOXYMALTOSE,ABDOMINAL PAIN UPPER,2,60,1420,94932
FERUMOXYTOL,ABDOMINAL PAIN UPPER,1,23,1420,94932
FILGRASTIM,ABDOMINAL PAIN UPPER,2,100,1420,94932
FINGOLIMOD,ABDOMINAL PAIN UPPER,35,1774,1420,94932
FLUOROURACIL,ABDOMINAL PAIN UPPER,2,152,1420,94932
FLUVASTATIN,ABDOMINAL PAIN UPPER,1,12,1420,94932
GABAPENTIN,ABDOMINAL PAIN UPPER,1,226,1420,94932
GADOBUTROL,ABDOMINAL PAIN UPPER,1,122,1420,94932
GADOTERATE MEGLUMINE,ABDOMINAL PAIN UPPER,2,30,1420,94932
GADOXETATE,ABDOMINAL PAIN UPPER,1,8,1420,94932
GALANTAMINE,ABDOMINAL PAIN UPPER,1,35,1420,94932
GEMCITABINE,ABDOMINAL PAIN UPPER,2,74,1420,94932
GLATIRAMER,ABDOMINAL PAIN UPPER,2,408,1420,94932
GLIMEPIRIDE,ABDOMINAL PAIN UPPER,1,38,1420,94932
HYDROXYCHLOROQUINE,ABDOMINAL PAIN UPPER,2,55,1420,94932
IBRUTINIB,ABDOMINAL PAIN UPPER,3,320,1420,94932
IBUPROFEN,ABDOMINAL PAIN UPPER,2,198,1420,94932
ILOPROST,ABDOMINAL PAIN UPPER,2,286,1420,94932
IMATINIB,ABDOMINAL PAIN UPPER,8,151,1420,94932
INFLIXIMAB,ABDOMINAL PAIN UPPER,5,1149,1420,94932
INSULIN DETEMIR,ABDOMINAL PAIN UPPER,1,32,1420,94932
INSULIN GLARGINE,ABDOMINAL PAIN UPPER,1,100,1420,94932
